folio,rubrique,nom,statut_soc,objet,detail_objet,localisation,redevance
f°1r,In de vriheit van brucele ,?,0,smoutmolen,,op hergode hof,op voerserden tijd 35 s + 35 s à la Sinte Jans Messe
,In de vriheit van brucele ,?,0,plaestke,,tuseghen decthermolen ende de slacmolen,1 d
,In de vriheit van brucele ,?,,"obstalle ""boeme"" te settenen?",,ter kesterbeke gheleghen,1 d
,In de vriheit van brucele ,Gilijs Trusen,/,eere hofstat + voervanghe dvt son hofstat,,Borghendal,3 d (hofst) et 1 d (voervg)
,In de vriheit van brucele ,Heinrec de Hollandere,/,ere hofstat ,,die Heinrecs was Tupayns,1 d
,In de vriheit van brucele ,Heinrec de Beyere,steenbickelere,?,,de schaer-stat,
,In de vriheit van brucele ,Gilijs de Renmakere,riddere,goede,,der Arcken(?),
,In de vriheit van brucele ,Arnoud Leemnan,/,eere hofstat,,der Arcken(?),
,In de vriheit van brucele ,//,/,1 voervanghe dvt sa maison,,borghendal,1 ob
,In de vriheit van brucele ,Jan Troechroede,"qualifié de ""her"" + ""de pape""",1 eere hostat,,borghendal,6 deniers
,In de vriheit van brucele ,Gherart van Bommeneke,/,goed,,,
,In de vriheit van brucele ,Willem Leemnan,/,1 eere hostat,,borgedhal,12 denier
,In de vriheit van brucele ,de proefst van coudenberg,de proefst van coudenberg,weghe,,van den weghe bi sine de sarre,6 denier
,In de vriheit van brucele ,de selve proefst,de selve proefst,?,,van nuws bi den kerchove totter kercken,3 denier
,In de vriheit van brucele ,de selve proefst,,van eere hofstat,,daer bien den hoerneke van sente danijs tseise,1 denier
,In de vriheit van brucele ,Kateline van Berlaer,/,?,,"""achter hare  huis op coudenberch",2 derniers
,In de vriheit van brucele ,//,,van den oversten inghanghe van haren kelder,,,1 denier
,In de vriheit van brucele ,"""die van der arcken""",?,1 obstalle ,,"""ieghen over Jan Wisscarts bi den arcken",1 denier
,In de vriheit van brucele ,?,?,goede,,tanderlecht?,1 denier
,In de vriheit van brucele ,"""de selve""",/,1 obstalle ,,bi der nuwer cammen,11 denier
,In de vriheit van brucele ,"""de selve""",/,1 halboendere heiden,,te haren,1 denier
,In de vriheit van brucele ,""" de selve""",/,2 boende(er)en beems,,te Heinbeke,4 sous
,In de vriheit van brucele ,Aerd Beghine,/,eerehofstat,,uter nuwer cammen (…)tusschen bi der honsgraecht,1 denier
,In de vriheit van brucele ,de selve,/,1 eerehofstat,,"""bi den mure""",1 denier
,In de vriheit van brucele ,de selve,/,?,,"""daer van nuws totter canale""",3 denier
,In de vriheit van brucele ,Huisarmen van Coudenberghe,,"""goede""",,,15 denier
,In de vriheit van brucele ,""" de selve goede dat was voskens echelmans .XII. d""",,,,,
,In de vriheit van brucele ,Bastijn de R/Iaghere,?,"""eere cameren""",,in Borghendal,ob
,In de vriheit van brucele ,"""de selve Bastijn""",/,1 voervanghe vore sine huis,,/,3 denier
,In de vriheit van brucele ,Gilijs Gherochte,/,"""eere cameren""",,/,ob
,In de vriheit van brucele ,Magriete Ansems,"qualifiée de ""joffrouwe""","""goede""",,van den wolhuse op coudenberch,
,In de vriheit van brucele ,,,,,,
f°1v,In de vriheit van brucele ,Jan de Rademake de appele,,?,,"""bi den tolhuse""",3 deniers
,In de vriheit van brucele ,Everart van Elten,"""her"" et ""de pape""",1 voervanghe,,"""bi der arcken sonder timmeren""?",
,In de vriheit van brucele ,Yde Wittebols,"""joffrouwe""",goede van eere hofstat achter sine huis,,?,8 denier et 1 chapon
,In de vriheit van brucele ,"""de selve""",/,"""van sire hofstat""",,,1 denier
,In de vriheit van brucele ,"""de selve van nuws .I.d"" ",,,,,
,In de vriheit van brucele ,Heinrec van Chakertlaycht? ,/,I voervanghe vore ende achter,,,3 denier
,In de vriheit van brucele ,Claes de sinde tserthoghen,"""meester""",eere hofstat,,/,ob
,In de vriheit van brucele ,Jan Imwelere tsertoghen,/,eere hofstat,,/,ob
,In de vriheit van brucele ,//,//,"""van sine  vorhoede boven sine kerldermont""",,,3 denier
,In de vriheit van brucele ,Vrancke Heinkaert,/,goede ,,in de cleine strate,1 denier
,In de vriheit van brucele ,Jan de Selfsoutte,"""meester""",voervanghe sire huse,,"""buten coudenberch poerte""",9 denier
